SUMLEV,STNAME,CTYNAME,POPESTIMATE2008,BIRTHS2008,DEATHS2008
040,Alabama,Alabama,4661900,62940,47057
050,Alabama,Autauga County,50364,718,448
050,Alabama,Baldwin County,174439,2267,1672
050,Alabama,Barbour County,29309,329,299
050,Alabama,Bibb County,21629,257,218
050,Alabama,Blount County,57441,729,554
050,Alabama,Bullock County,10796,155,114
050,Alabama,Butler County,20090,287,283
050,Alabama,Calhoun County,113419,1544,1317
050,Alabama,Chambers County,34424,424,462
050,Alabama,Cherokee County,24545,254,297
050,Alabama,Chilton County,42444,573,424
050,Alabama,Choctaw County,14055,160,192
050,Alabama,Clarke County,26304,329,289
050,Alabama,Clay County,13809,140,158
050,Alabama,Cleburne County,14799,186,185
050,Alabama,Coffee County,47753,642,485
050,Alabama,Colbert County,54663,625,640
050,Alabama,Conecuh County,13066,160,175
050,Alabama,Coosa County,10814,105,124
050,Alabama,Covington County,36856,479,502
050,Alabama,Crenshaw County,13754,188,159
050,Alabama,Cullman County,81324,1010,905
050,Alabama,Dale County,48292,717,464
050,Alabama,Dallas County,42867,672,556
050,Alabama,DeKalb County,68515,1003,694
050,Alabama,Elmore County,78106,1110,660
050,Alabama,Escambia County,37490,485,419
050,Alabama,Etowah County,103303,1283,1326
050,Alabama,Fayette County,17691,178,197
050,Alabama,Franklin County,30801,441,363
050,Alabama,Geneva County,25882,297,297
050,Alabama,Greene County,9172,113,114
050,Alabama,Hale County,18145,227,216
050,Alabama,Henry County,16591,203,212
050,Alabama,Houston County,98488,1396,918
050,Alabama,Jackson County,53134,615,610
050,Alabama,Jefferson County,659503,9164,7052
050,Alabama,Lamar County,14295,161,179
050,Alabama,Lauderdale County,89128,1005,976
050,Alabama,Lawrence County,34166,405,338
050,Alabama,Lee County,133010,1658,865
050,Alabama,Limestone County,76135,948,659
050,Alabama,Lowndes County,12644,176,155
050,Alabama,Macon County,22290,252,277
050,Alabama,Madison County,319510,4148,2453
050,Alabama,Marengo County,21055,291,256
050,Alabama,Marion County,29465,342,360
050,Alabama,Marshall County,88484,1456,962
050,Alabama,Mobile County,406309,6044,3926
050,Alabama,Monroe County,22553,291,250
050,Alabama,Montgomery County,224810,3421,2038
050,Alabama,Morgan County,115959,1574,1144
050,Alabama,Perry County,10643,152,167
050,Alabama,Pickens County,19524,243,274
050,Alabama,Pike County,30381,422,335
050,Alabama,Randolph County,22620,268,273
050,Alabama,Russell County,50504,706,561
050,Alabama,St. Clair County,79837,1058,783
050,Alabama,Shelby County,187784,2816,1119
050,Alabama,Sumter County,13266,168,166
050,Alabama,Talladega County,80279,1008,894
050,Alabama,Tallapoosa County,40773,479,548
050,Alabama,Tuscaloosa County,179448,2482,1538
050,Alabama,Walker County,68970,843,927
050,Alabama,Washington County,17204,187,160
050,Alabama,Wilcox County,12803,200,170
050,Alabama,Winston County,23974,271,304
040,Alaska,Alaska,686293,11266,2870
050,Alaska,Aleutians East Borough,2810,19,0
050,Alaska,Aleutians West Census Area,4529,27,0
050,Alaska,Anchorage Municipality,279243,4505,1303
050,Alaska,Bethel Census Area,17236,444,77
050,Alaska,Bristol Bay Borough,953,10,0
050,Alaska,Denali Borough,1848,18,1
050,Alaska,Dillingham Census Area,4933,95,8
050,Alaska,Fairbanks North Star Borough,97970,1825,326
050,Alaska,Haines Borough,2271,22,3
050,Alaska,Hoonah-Angoon Census Area,2174,21,0
050,Alaska,Juneau City and Borough,30988,392,118
050,Alaska,Kenai Peninsula Borough,53409,708,301
050,Alaska,Ketchikan Gateway Borough,13142,190,85
050,Alaska,Kodiak Island Borough,13049,211,17
050,Alaska,Lake and Peninsula Borough,1488,25,0
050,Alaska,Matanuska-Susitna Borough,85458,1337,391
050,Alaska,Nome Census Area,9261,233,29
050,Alaska,North Slope Borough,6615,165,9
050,Alaska,Northwest Arctic Borough,7502,186,20
050,Alaska,Prince of Wales-Outer Ketchikan Census Area,5533,71,7
050,Alaska,Sitka City and Borough,8889,126,32
050,Alaska,Skagway Municipality,892,8,4
050,Alaska,Southeast Fairbanks Census Area,6753,112,33
050,Alaska,Valdez-Cordova Census Area,9362,118,35
050,Alaska,Wade Hampton Census Area,7717,246,33
050,Alaska,Wrangell-Petersburg Census Area,5910,60,28
050,Alaska,Yakutat City and Borough,657,6,1
050,Alaska,Yukon-Koyukuk Census Area,5701,86,9
040,Arizona,Arizona,6500180,106737,45850
050,Arizona,Apache County,70207,1312,495
050,Arizona,Cochise County,129006,1920,1062
050,Arizona,Coconino County,128558,2174,648
